ilosc wierzcholkow w tym wypadku jest iloscia iteracji algorytmu

liczba wierzcholkow,czas [ms],dlugosc trasy
10,1258.27,257
15,1865.79,253
20,2482.49,222
25,3107.23,248
30,3722.26,213
35,4342.2,243
40,4963.62,246
45,5587.12,238
50,6208.92,232
55,6825.53,245
60,7446.79,242
65,8064.88,239
70,8688.63,246
75,9305.66,237
80,9925.97,235
85,10540.7,230
90,11175.9,240
95,11785.6,234
100,12438.2,243
105,13152.4,215
