ilosc wierzcholkow w tym wypadku jest iloscia mrowek

liczba wierzcholkow,czas [ms],dlugosc trasy
10,1246.17,257
15,1863.42,253
20,2486.58,240
25,3110.15,248
30,3730.76,233
35,4353.4,240
40,4991.09,235
45,5592.5,238
50,6213.86,219
55,6835.49,242
60,7457.38,235
65,8080.94,231
70,8696.03,238
75,9321.77,240
80,9940.23,214
85,10565.8,230
90,11185.9,228
95,11834.5,219
100,12428.9,226
105,13047.9,229
