ilosc wierzcholkow w tym wypadku jest iloscia mrowek

liczba wierzcholkow,czas [ms],dlugosc trasy
10,3157.4,236
15,4734.14,232
20,6303.1,251
25,7877.99,236
30,9460.12,237
35,11038.4,245
40,12617.7,237
45,14137.4,238
50,15777.7,244
55,17341.4,237
60,18934.6,244
65,20526,228
70,22082.9,234
75,23612.3,239
80,25240.1,244
85,26746,229
90,28357.8,241
95,29911.9,235
100,31479.7,221
105,33100.2,230
