ilosc wierzcholkow w tym wypadku jest iloscia iteracji algorytmu

liczba wierzcholkow,czas [ms],dlugosc trasy
10,3183.58,258
15,4758.99,244
20,6344.44,225
25,7786.33,232
30,9329.62,237
35,10889.3,235
40,12443.8,250
45,14005,239
50,15552.5,217
55,17100.7,236
60,18669.4,228
65,20224.7,225
70,21762.5,231
75,23321.9,231
80,24885.2,240
85,26826.4,232
90,28365,232
95,29995.4,230
100,31575.9,240
105,33369.5,233
